pair,total_count,len_3_count,len_4_count,len_5_count,len_6_count,len_7_count,len_8_count,len_9_count,len_10_plus_count
"(e,t)",842,5,12,48,78,106,100,110,383
"(e,u)",15,4,4,1,2,1,1,0,2
"(e,v)",5,1,1,1,0,0,1,0,1
"(e,w)",30,0,2,8,7,2,11,0,0
"(e,x)",32,0,5,3,2,1,2,5,14
"(e,y)",1253,1,17,30,47,72,87,128,871
"(e,z)",3,0,0,0,2,0,0,1,0
"(f,a)",336,2,10,34,48,71,54,35,82
"(f,b)",22,5,8,2,1,2,3,1,0
"(f,c)",170,2,5,5,19,22,25,14,78
"(f,d)",1022,7,18,49,136,152,201,160,299
"(f,e)",1781,4,41,86,170,248,351,333,548
"(f,f)",48,0,5,3,2,6,9,9,14
"(f,g)",715,4,7,4,30,128,136,109,297
"(f,h)",228,3,6,26,30,33,51,43,36
"(f,i)",70,2,8,14,10,13,10,5,8
"(f,j)",0,0,0,0,0,0,0,0,0
"(f,k)",172,0,16,20,5,26,54,35,16
"(f,l)",435,3,18,23,63,62,101,57,108
"(f,m)",284,4,11,12,25,25,53,47,107
"(f,n)",707,6,15,20,73,117,124,84,268
"(f,o)",114,3,11,16,24,20,22,8,10
"(f,p)",95,3,5,8,4,13,21,10,31
"(f,q)",2,1,1,0,0,0,0,0,0
"(f,r)",893,5,7,48,136,191,138,119,249
"(f,s)",2745,4,38,161,224,312,497,549,960
"(f,t)",809,7,30,48,69,130,182,155,188
"(f,u)",18,3,3,4,2,1,4,0,1
"(f,v)",3,0,2,1,0,0,0,0,0
"(f,w)",52,2,4,1,9,16,16,2,2
"(f,x)",29,3,6,5,4,5,1,3,2
"(f,y)",1106,6,15,90,129,147,173,156,390
"(f,z)",16,2,6,4,0,2,1,0,1
"(g,a)",607,2,20,60,73,94,103,63,192
"(g,b)",20,5,11,0,3,0,1,0,0
"(g,c)",362,1,2,8,25,33,50,36,207
"(g,d)",753,9,24,32,108,155,132,131,162
"(g,e)",1587,7,41,105,155,215,241,313,510
"(g,f)",40,2,10,15,1,0,3,4,5
"(g,g)",504,3,15,3,23,122,121,79,138
"(g,h)",242,1,6,20,54,40,44,29,48
"(g,i)",115,2,10,18,26,20,22,7,10
"(g,j)",2,1,1,0,0,0,0,0,0
"(g,k)",115,0,11,12,5,24,20,24,19
"(g,l)",487,5,20,24,70,68,79,44,177
"(g,m)",307,6,13,15,16,26,50,56,125
"(g,n)",706,6,23,32,114,124,125,91,191
"(g,o)",166,4,11,31,41,30,29,13,7
"(g,p)",115,4,13,14,8,14,12,13,37
"(g,q)",0,0,0,0,0,0,0,0,0
"(g,r)",686,6,15,28,129,146,105,76,181
"(g,s)",2463,9,52,153,213,349,423,398,866
"(g,t)",612,7,29,57,75,74,117,114,139
"(g,u)",27,3,4,2,7,4,4,3,0
"(g,v)",7,2,2,2,0,0,1,0,0
"(g,w)",24,1,6,1,6,3,4,1,2
"(g,x)",26,2,1,3,0,4,5,4,7
"(g,y)",951,5,14,100,114,107,110,119,382
