pair,total_count,len_3_count,len_4_count,len_5_count,len_6_count,len_7_count,len_8_count,len_9_count,len_10_plus_count
"(u,t)",1027,4,3,36,108,133,124,142,477
"(u,u)",19,5,2,6,2,2,2,0,0
"(u,v)",1,0,1,0,0,0,0,0,0
"(u,w)",70,1,0,8,20,10,18,9,4
"(u,x)",28,0,2,10,1,2,4,4,5
"(u,y)",3699,0,7,27,42,139,212,259,3013
"(u,z)",2,0,1,0,0,1,0,0,0
"(v,a)",279,1,17,42,40,59,50,27,43
"(v,b)",2,0,1,1,0,0,0,0,0
"(v,c)",134,3,0,6,8,17,21,16,63
"(v,d)",312,1,7,15,37,41,55,46,110
"(v,e)",910,3,19,36,72,128,166,180,306
"(v,f)",12,0,0,0,1,1,1,2,7
"(v,g)",206,4,3,1,10,25,22,32,109
"(v,h)",53,0,1,3,3,7,16,13,10
"(v,i)",54,3,9,7,5,17,3,4,6
"(v,j)",0,0,0,0,0,0,0,0,0
"(v,k)",15,0,1,2,1,6,2,2,1
"(v,l)",280,4,11,16,36,32,36,41,104
"(v,m)",186,2,0,7,16,9,33,48,71
"(v,n)",358,3,5,8,31,38,53,50,170
"(v,o)",63,0,4,12,9,11,15,6,6
"(v,p)",33,1,3,0,1,0,1,3,24
"(v,q)",0,0,0,0,0,0,0,0,0
"(v,r)",330,2,4,20,55,42,54,41,112
"(v,s)",1234,3,19,61,102,139,200,232,478
"(v,t)",246,2,9,14,29,34,49,31,78
"(v,u)",11,1,3,2,1,0,1,0,3
"(v,v)",2,1,0,0,0,0,0,1,0
"(v,w)",8,2,2,4,0,0,0,0,0
"(v,x)",23,3,0,4,6,3,3,0,4
"(v,y)",560,0,5,24,50,59,89,67,266
"(v,z)",3,1,0,2,0,0,0,0,0
"(w,a)",115,3,6,20,21,29,12,4,20
"(w,b)",14,3,2,0,1,3,3,1,1
"(w,c)",17,2,1,0,4,3,0,4,3
"(w,d)",598,5,18,33,82,120,129,91,120
"(w,e)",828,4,42,48,110,124,160,161,179
"(w,f)",70,3,12,7,0,7,10,14,17
"(w,g)",461,3,8,6,30,93,122,72,127
"(w,h)",192,1,8,27,23,41,34,22,36
"(w,i)",55,1,7,6,13,17,4,3,4
"(w,j)",0,0,0,0,0,0,0,0,0
"(w,k)",148,2,16,12,5,21,39,36,17
"(w,l)",199,0,12,14,38,41,42,26,26
"(w,m)",129,3,8,5,8,21,24,24,36
"(w,n)",408,6,16,21,62,84,77,60,82
"(w,o)",62,3,4,7,15,14,7,9,3
"(w,p)",114,3,14,13,14,12,18,13,27
"(w,q)",0,0,0,0,0,0,0,0,0
"(w,r)",605,5,10,24,106,117,96,72,175
"(w,s)",1461,6,34,115,113,214,298,266,415
"(w,t)",425,5,28,32,39,81,79,79,82
"(w,u)",18,0,4,2,3,6,2,0,1
"(w,v)",1,0,0,0,1,0,0,0,0
"(w,w)",56,2,2,1,11,15,11,6,8
"(w,x)",8,1,1,0,0,5,1,0,0
"(w,y)",548,5,13,71,93,76,83,71,136
"(w,z)",8,1,2,4,0,0,0,0,1
"(x,a)",77,0,4,4,3,7,9,17,33
"(x,b)",0,0,0,0,0,0,0,0,0
"(x,c)",50,0,0,4,0,7,1,4,34
"(x,d)",23,1,0,1,1,7,1,3,9
"(x,e)",75,0,2,0,5,1,18,15,34
"(x,f)",2,0,1,0,1,0,0,0,0
"(x,g)",2,0,0,0,0,0,1,0,1
"(x,h)",4,0,0,0,0,1,1,2,0
"(x,i)",17,3,3,3,2,0,1,1,4
"(x,j)",0,0,0,0,0,0,0,0,0
"(x,k)",1,0,0,1,0,0,0,0,0
"(x,l)",25,1,1,4,2,5,1,1,10
"(x,m)",22,0,0,1,2,0,3,2,14
"(x,n)",42,0,0,3,2,5,7,3,22
"(x,o)",1,0,1,0,0,0,0,0,0
"(x,p)",1,0,0,0,0,0,1,0,0
"(x,q)",0,0,0,0,0,0,0,0,0
"(x,r)",6,0,0,0,1,0,0,1,4
"(x,s)",102,1,1,5,10,14,8,13,50
"(x,t)",11,1,2,0,0,0,1,3,4
"(x,u)",0,0,0,0,0,0,0,0,0
"(x,v)",4,2,2,0,0,0,0,0,0
"(x,w)",0,0,0,0,0,0,0,0,0
"(x,x)",4,2,0,1,0,0,0,0,1
"(x,y)",28,0,1,0,0,0,6,7,14
"(x,z)",1,1,0,0,0,0,0,0,0
"(y,a)",72,1,13,15,23,7,9,0,4
"(y,b)",6,1,3,0,1,0,1,0,0
"(y,c)",10,0,0,2,1,3,2,1,1
"(y,d)",85,4,8,9,27,10,12,5,10
"(y,e)",118,2,19,11,19,11,22,14,20
"(y,f)",4,0,1,1,0,0,1,1,0
"(y,g)",63,1,2,1,4,30,13,7,5
"(y,h)",39,3,8,8,4,6,6,2,2
"(y,i)",34,1,9,4,6,6,5,1,2
"(y,j)",0,0,0,0,0,0,0,0,0
"(y,k)",48,3,13,7,6,5,6,3,5
"(y,l)",28,0,7,4,7,4,3,1,2
"(y,m)",32,3,5,3,3,5,7,3,3
"(y,n)",109,5,6,19,22,18,18,7,14
"(y,o)",20,2,3,8,3,2,1,1,0
"(y,p)",19,4,7,0,0,1,2,2,3
"(y,q)",0,0,0,0,0,0,0,0,0
"(y,r)",73,3,5,5,32,15,7,2,4
"(y,s)",239,6,18,47,33,37,28,38,32
"(y,t)",56,3,10,6,7,6,12,5,7
"(y,u)",5,1,3,0,1,0,0,0,0
"(y,v)",1,0,0,0,0,0,1,0,0
"(y,w)",8,3,0,0,3,0,1,0,1
"(y,x)",2,2,0,0,0,0,0,0,0
"(y,y)",60,2,3,17,10,7,9,4,8
"(y,z)",1,1,0,0,0,0,0,0,0
"(z,a)",139,2,8,16,21,34,16,12,30
"(z,b)",4,0,1,2,0,0,0,1,0
"(z,c)",94,1,2,3,9,11,14,19,35
"(z,d)",59,3,3,3,16,9,8,8,9
"(z,e)",205,1,4,12,23,34,29,39,63
"(z,f)",3,0,2,0,0,0,0,1,0
"(z,g)",29,2,1,0,5,11,3,1,6
"(z,h)",32,0,1,2,8,8,2,7,4
"(z,i)",32,0,5,7,0,6,4,6,4
"(z,j)",0,0,0,0,0,0,0,0,0
"(z,k)",17,2,2,2,5,1,3,2,0
"(z,l)",67,1,4,5,3,5,6,6,37
"(z,m)",60,0,1,3,6,12,8,7,23
"(z,n)",96,2,4,7,14,19,9,17,24
"(z,o)",39,2,3,6,6,12,7,3,0
"(z,p)",7,3,1,0,0,1,1,0,1
"(z,q)",1,0,0,0,1,0,0,0,0
"(z,r)",55,2,1,4,17,9,8,7,7
"(z,s)",282,0,10,25,23,53,42,52,77
"(z,t)",69,2,2,6,5,10,12,10,22
"(z,u)",5,0,3,0,1,0,1,0,0
"(z,v)",0,0,0,0,0,0,0,0,0
"(z,w)",0,0,0,0,0,0,0,0,0
"(z,x)",2,1,0,0,0,0,1,0,0
"(z,y)",83,0,1,8,4,14,15,11,30
"(z,z)",2,0,1,1,0,0,0,0,0
